IP ADDR            PORT                APPLICATION                                 CLASS  DPI/AppMap  IDLE TIME MS
18.196.241.73       443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI        243425
145.14.152.92     43967                    APP_FTP                APP_CLASS_FILE_SHARING         DPI        247220
10.71.114.60      20054                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        232335
10.71.114.119     57831                  APP_MSRPC             APP_CLASS_NETWORK_SERVICE         DPI        200704
17.253.73.203       443                  APP_APPLE                         APP_CLASS_WEB         DPI        164096
40.101.124.194      443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        529898
10.71.114.60      12163                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        577416
52.111.209.1        443              APP_OFFICE365      APP_CLASS_BUSINESS_COLLABORATION         APM         96849
54.192.231.10       443                 APP_TINDER                         APP_CLASS_WEB         DPI        203225
10.71.114.60      44617                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        286668
20.150.95.132       443               APP_ONEDRIVE                         APP_CLASS_WEB         DPI        453092
10.71.114.60       5725                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        320477
10.1.73.53         7680                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        122423
10.10.1.3            53                    APP_DNS             APP_CLASS_NETWORK_SERVICE         APM        156693
10.71.114.60      27379                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        558250
18.66.192.41        443                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI          1310
10.71.114.124      8531                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI        260654
40.99.204.194       443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        224826
10.71.114.60      28099                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        318243
20.42.73.24         443              APP_MICROSOFT                         APP_CLASS_WEB         DPI        220127
10.34.230.11         53                    APP_DNS             APP_CLASS_NETWORK_SERVICE         APM        166694
10.71.114.119     59444                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        593581
13.107.21.239       443              APP_MICROSOFT                         APP_CLASS_WEB         DPI        472688
10.71.114.60      43525                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        282692
10.134.178.8       7680                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        485161
10.20.36.194      58427                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI          6530
10.71.114.60      41487                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        582705
52.114.142.203      443               APP_MS_TEAMS  APP_CLASS_INTERNET_INSTANT_MESSAGING         DPI         73509
10.20.36.194      57512                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        396556
146.59.70.47        443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI        184511
10.9.0.26            53                    APP_DNS             APP_CLASS_NETWORK_SERVICE         APM        166694
52.232.209.85       443              APP_MICROSOFT                         APP_CLASS_WEB         DPI        400163
52.178.17.3         443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI        275654
10.71.100.12      58745                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        214595
10.20.21.205      52012                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        192189
10.90.8.54          389                   APP_LDAP              APP_CLASS_AUTHENTICATION         APM        568652
10.71.114.60      50219                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        507085
10.71.114.60       4708                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI         72724
10.230.128.19     17778                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        159833
10.71.114.60      37472                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        312195
17.253.38.125       123                    APP_NTP             APP_CLASS_NETWORK_SERVICE         APM        280014
216.58.208.97       443             APP_GOOGLE_ADS                         APP_CLASS_WEB         DPI        437255
10.71.114.60       8341                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        387083
10.71.114.119     56875                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        227631
10.71.114.60      29561                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI         27092
10.71.114.60      24231                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        272825
31.13.81.48         443               APP_WHATSAPP  APP_CLASS_INTERNET_INSTANT_MESSAGING         DPI        243803
18.195.202.253      443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI        137038
165.225.73.68        80                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        376025
52.97.179.194       443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI         88260
52.111.243.6        443              APP_OFFICE365      APP_CLASS_BUSINESS_COLLABORATION         APM        223547
10.72.112.13       8037                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI         38063
10.71.114.60      16079                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        116001
10.9.0.52           389                   APP_LDAP              APP_CLASS_AUTHENTICATION         DPI           872
10.10.1.5            53                    APP_DNS             APP_CLASS_NETWORK_SERVICE         APM        156693
104.21.20.143       443             APP_CLOUDFLARE              APP_CLASS_INFRASTRUCTURE         DPI        389092
10.71.50.53         123                    APP_NTP             APP_CLASS_NETWORK_SERVICE         APM         17480
