SRC_IP                  DEST_IP  SRC_PORT  DEST_PORT  PROTO  DSCP                                                   APP    TCP_STATE      RULE  BYTES_SENT  BYTES_RCVD  DURATION_SECS
10.239.30.64      10.230.134.18     61703         53     17     0                                                   dns          N/A  AllowAny          62         143              0
10.239.30.173     10.71.104.141      5264       5246     17    48                                                  dtls          N/A  AllowAny    84884828    17927535         839360
10.239.30.157        10.9.250.2     14330        389     17     0                                                  ldap          N/A  AllowAny         121           0              0
192.168.0.148           8.8.4.4     56704         53     17     0                                                   dns          N/A  AllowAny          64         122              0
10.239.30.24       52.109.32.24     61362        443      6     0                                             Microsoft      CLOSING  AllowAny        1628        8290            109
10.239.30.157     10.104.64.235     14033        389     17     0                                                  ldap          N/A  AllowAny         111           0              0
10.239.30.121      100.21.10.50      4299       9930     17     0                                                   udp          N/A  AllowAny         108          82              0
10.239.30.152       10.71.50.53     59056         53     17     0                                                   dns          N/A  AllowAny          76          92              0
10.239.30.24      165.225.29.15     61024        443      6     0                                                 https      CLOSING  AllowAny        2074        4843              0
10.239.30.23    147.161.249.114     56737       7680      6     0                                                   tcp       CLOSED  AllowAny         213          92              0
10.239.30.18      145.14.152.92     61357      43967      6     0                                                   ftp      CLOSING  AllowAny         328        8874              0
10.239.30.152       10.71.50.53     58146         53     17     0                                                   dns          N/A  AllowAny          83         147              0
192.168.0.148           8.8.4.4     58429         53     17     0                                                   dns          N/A  AllowAny          72         136              0
10.239.30.16       10.71.112.31     50091       5508      6     0                                                   tcp     SYN_SENT  AllowAny         208           0              7
10.239.30.73     194.58.207.148       123        123     17    46                                                   ntp          N/A  AllowAny          76          76              0
10.239.30.152      10.71.122.71     57972         53     17     0                                                   dns          N/A  AllowAny          82          98              0
10.239.30.24        192.168.1.5     61549         80      6     0                                                   tcp      CLOSING  AllowAny         190         132              0
10.239.30.169       10.71.30.46     53769      32626      6     0                                                   tcp     SYN_SENT  AllowAny         300           0             15
10.239.30.58      52.39.184.169     36487       9930     17     0                                                   wtp          N/A  AllowAny         103         128              0
192.168.0.148      17.57.163.28     58844        443      6     0                                        Apple Location      CLOSING  AllowAny        1792        4505              0
10.239.30.171       10.71.30.46     52757      32626      6     0                                                   tcp     SYN_SENT  AllowAny         300           0             15
10.239.30.21        20.54.37.73     64708        443      6     0                                    Microsoft OneDrive  ESTABLISHED  AllowAny       24491       36186           5518
10.239.30.152       10.34.196.3     59477         53     17     0                                                   dns          N/A  AllowAny         124         124              0
192.168.0.18            8.8.4.4     53888         53     17     0                                                   dns          N/A  AllowAny          69         151              0
10.239.30.19       148.139.7.68     51083        443      6     0                                           Service Now      CLOSING  AllowAny      305641      990364            919
192.168.0.196      40.101.8.162     42896        443      6     0                                               outlook       CLOSED  AllowAny       21487       14696             95
10.239.30.64      54.229.77.151     60725        443      6     0                                                amazon       CLOSED  AllowAny        3952        6463             67
10.239.31.178      142.251.36.3     61851        443      6     0                                           Google APIs       CLOSED  AllowAny        1551        6631            272
10.239.30.154      10.23.112.56     60122       8037      6     0                                                   tcp     SYN_SENT  AllowAny         152           0              9
10.239.30.16    172.217.168.238     61567        443     17     0                                                   udp          N/A  AllowAny        2036        2760              0
10.239.30.19      192.168.1.152     51335       7680      6     0                                                   tcp     SYN_SENT  AllowAny         156           0              9
10.239.30.115     20.38.109.232     49791        445      6    10                                                   smb  ESTABLISHED  AllowAny       96238       93872          12457
10.239.30.152       10.71.50.53     59994         53     17     0                                                   dns          N/A  AllowAny         178         459             35
10.239.30.170     10.71.104.141      5256       5246     17    48                                                  dtls          N/A  AllowAny    84795801    18151225         839358
10.239.30.23      52.232.19.237     56643        443      6     0                                         windows_azure  ESTABLISHED  AllowAny       48597       29529            428
10.239.30.169       10.71.30.46     53767      32626      6     0                                                   tcp     SYN_SENT  AllowAny         300           0             15
10.20.33.13        10.239.30.58     51445      53048      6     0                        Web Services Dynamic Discovery      CLOSING  AllowAny        1878        1397              0
10.239.30.152       10.71.50.53     59519         53     17     0                                                   dns          N/A  AllowAny         102         118              0
10.239.30.115     3.120.221.108     64498        443      6     0                                                amazon      CLOSING  AllowAny       11077        8265            290
10.239.30.24      40.99.204.114     61320        443      6     0                                               outlook  ESTABLISHED  AllowAny      979843     1494682            149
10.239.30.21     18.158.134.131     53410        443      6     0                                                   ssl  ESTABLISHED  AllowAny      196512      455807           1915
SRC_IP                  DEST_IP  SRC_PORT  DEST_PORT  PROTO  DSCP                                                   APP    TCP_STATE      RULE  BYTES_SENT  BYTES_RCVD  DURATION_SECS
10.239.30.152   205.251.197.181     59488         53     17     0                                                   dns          N/A  AllowAny          80         249              0
10.239.30.154    18.158.134.131     60007        443      6     0                                                   ssl  ESTABLISHED  AllowAny       61031      398222           1767
10.239.30.19     147.161.249.79     51297       7680      6     0                                                   tcp       CLOSED  AllowAny         213          92              0
10.239.30.152       10.71.50.53     57644         53     17     0                                                   dns          N/A  AllowAny         281         434            326
10.239.30.152       10.71.50.53     59892         53     17     0                                                   dns          N/A  AllowAny          86         150              0
10.239.30.152      10.71.112.84     53595         88      6     0                                                  krb5       CLOSED  AllowAny         432         381              0
192.168.0.18            8.8.4.4     51141         53     17     0                                                   dns          N/A  AllowAny          60          76              0
10.239.30.22       52.109.24.87     52066        443      6    18                                               outlook  ESTABLISHED  AllowAny       20066       22566           2009
10.71.114.60      10.239.30.194     32401        161     17     0                                                  snmp          N/A  AllowAny          75          70              0
10.239.30.19    142.250.179.163     51290        443      6     0                                               gstatic      CLOSING  AllowAny        1200        1476             60
10.239.30.115     40.99.204.194     63229        443      6     0                                               outlook      CLOSING  AllowAny      113657       87633            679
10.239.30.152       10.71.50.53     59050         53     17     0                                                   dns          N/A  AllowAny         103         263              0
10.239.30.24       20.54.24.246     60904        443      6     0                                                   ssl      CLOSING  AllowAny        2133        3713            110
10.239.30.154       10.23.50.53     55836         53     17     0                                                   dns          N/A  AllowAny          76         275              0
10.239.30.64      63.32.134.176     60700        443      6     0                                                amazon      CLOSING  AllowAny        7253        7934            173
10.239.30.152       10.71.50.53     58375         53     17     0                                                   dns          N/A  AllowAny         197         387             37
10.239.30.25    137.135.225.146     55658        443      6     8                                       Skype and Teams  ESTABLISHED  AllowAny       14966       14681           2973
10.20.32.81       10.239.30.155     57601      65352      6     0                                                dcerpc  ESTABLISHED  AllowAny      259849      275248          10596
10.239.30.115      146.59.70.47     64561        443      6     0                                                 https       CLOSED  AllowAny        1035        5127              0
192.168.0.18            8.8.4.4     61565         53     17     0                                                   dns          N/A  AllowAny          60         222              0
10.239.30.24     165.225.192.38     61023         80      6     0                                                  http      CLOSING  AllowAny         287         273              0
10.239.30.18     18.158.134.131     60868        443      6     0                                                   ssl  ESTABLISHED  AllowAny      450892      450846           1860
10.239.30.152       10.71.50.53     65061         53     17     0                                                   dns          N/A  AllowAny          68          84              0
10.71.114.119     10.239.30.151     56875        135      6     0                                                  krb5      CLOSING  AllowAny         798        4876             10
10.239.30.121     44.224.180.80      4291       9930     17     0                                                   udp          N/A  AllowAny         100          82              0
10.239.30.24     52.113.194.132     61053        443      6     0                                       Microsoft Teams      CLOSING  AllowAny        2607        7707             69
10.239.30.152       10.71.50.53     57706         53     17     0                                                   dns          N/A  AllowAny          83         147              0
10.239.30.115     104.22.57.185     56876        443     17     0                                                   udp          N/A  AllowAny        5979       42169             18
