FID        SECURE  SEGID     FDSN  MAX_RECV_FDSN  FDSN_READ  LAST_LATE_FDSN         SRC_IP          DEST_IP  SRC_PORT  DEST_PORT  PROTO  DSCP  PRIORITY                      APPLICATION                                 APP_CLASS   TRAFFIC-TYPE                                 ROUTE  ROUTE-POL     LINK-POL               BIZ-POL      NH-ID    LINK-ID               FLAGS1  VERSION    SRC            ADDR              SR              DR  FLOW AGE MS  IDLE TIME MS  CBH-FLOW  DROPS
43224694        0      0        0              0          0               0  10.239.31.178     142.251.36.3     62026        443     17     0    normal                     APP_UDP(216)               APP_CLASS_OTHER_TCP_UDP(21)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-           0xa000000L        1  local  0x7f942ff9eae0  0x7f948e584170  0x7f948e5845c0       294512        294449         0      0
43213352        1      0       23             28         28               0  10.239.30.155      10.20.37.27     65352      28290      6     0    normal                     APP_TCP(205)               APP_CLASS_OTHER_TCP_UDP(21)  transactional               Branch to Branch Direct    gateway  loadbalance          User Default  68745f57-        N/A    0x48002800000000L        1   peer  0x7f94a409df60  0x7f948e584170  0x7f948e5ce7b0      1670969        226885         0      0
43224537        0      1        0              0          0               0  192.168.0.196          8.8.8.8     60056        443      6     0    normal                      APP_DNS(32)             APP_CLASS_NETWORK_SERVICE(13)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x4080000a000000L        1  local  0x7f94a420a760  0x7f948e5bc830  0x7f948e584450       319156        108457         0      0
43226071        0      0        0              0          0               0   10.239.30.24    34.209.16.253     61287        443      6     0    normal                APP_MOZILLA(1020)                         APP_CLASS_WEB(19)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x4080000a000000L        3  local  0x7f94a42afa80  0x7f948e584170  0x7f948e5842e0       148926         88062         0      0
43225680        0      0        0              0          0               0   10.239.30.24     13.107.6.158     61085        443      6     0    normal              APP_MICROSOFT(2821)                         APP_CLASS_WEB(19)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x4080000a000000L        1  local  0x7f9416e354e0  0x7f948e584170  0x7f948e5842e0       182254        119209         0      0
43226183        1      0        1              1          1               0  10.239.30.152      10.71.50.53     59367         53     17     0    normal                      APP_DNS(32)             APP_CLASS_NETWORK_SERVICE(13)  transactional               Branch to Branch Direct    gateway  loadbalance       Network Service  68745f57-        N/A     0x8002800000000L        1  local  0x7f9416e78d00  0x7f948e584170  0x7f948e5ce080       141472        141434         0      0
43225141        0      0       11              9          9               0  10.239.31.249   35.157.214.226     57865        443      6     0      high         APP_VELOCLOUD_MGMT(4095)                   APP_CLASS_VELOCLOUD(20)  transactional                     Cloud via Gateway    gateway  loadbalance  VeloCloud Management  157f9142-        N/A      0x800100000000L        1  local  0x7f9416e55b20  0x7f948e585700  0x7f948e5842e0       247250        247095         0      0
43226560        1      0        1              1          1               0  10.239.30.152      10.71.50.53     58526         53     17     0    normal                      APP_DNS(32)             APP_CLASS_NETWORK_SERVICE(13)  transactional               Branch to Branch Direct    gateway  loadbalance       Network Service  68745f57-        N/A     0x8002800000000L        1  local  0x7f9421bb9a50  0x7f948e584170  0x7f948e5ce080       111587        111550         0      0
43224946        1      0        1              1          1               0  10.239.30.152      10.71.50.53     59210         53     17     0    normal                      APP_DNS(32)             APP_CLASS_NETWORK_SERVICE(13)  transactional               Branch to Branch Direct    gateway  loadbalance       Network Service  68745f57-        N/A     0x8002800000000L        1  local  0x7f94a41fd510  0x7f948e584170  0x7f948e5ce080       271751        271714         0      0
43226977        0      0        0              0          0               0  10.239.30.121    44.224.180.80      4290       9930     17     0    normal                     APP_UDP(216)               APP_CLASS_OTHER_TCP_UDP(21)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-      0x20000a000000L        1  local  0x7f94a52be680  0x7f948e584170  0x7f948e5845c0        57226         57056         0      0
