"name","u_node_id","ip_address","hardware_status","operational_status"
"0027043A1F9B","NLMAA-HOSP-ANIRA (00:27:04:3A:1F:9B)","10.13.99.1","Installed","Operational"
"0027043A2257","AUHOP-APAC-ANIRA (00:27:04:3A:22:57)","10.103.116.3","Installed","Operational"
"0027043A2275","AUWIL-APAC-ANIRA (00:27:04:3A:22:75)","10.103.112.3","Installed","Operational"
"0027043A227F","AUCHE-APAC-ANIRA (00:27:04:3A:22:7F)","10.103.88.3","Installed","Operational"
"0027043A2351","NZPET-APAC-ANIRA (00:27:04:3A:23:51)","10.103.156.1","Installed","Operational"
"0027043A2437","AUFOR-APAC-ANIRA (00:27:04:3A:24:37)","10.103.96.3","Installed","Operational"
"0027043A245F","AUMIL-APAC-ANIRA (00:27:04:3A:24:5F)","10.103.104.3","Installed","Operational"
"0027043A2469","AUCLO-APAC-ANIRA (00:27:04:3A:24:69)","10.103.124.3","Installed","Operational"
"0027043A2577","NZAUK-AAES-ANIRA (00:27:04:3A:25:77)","10.34.63.1","Installed","Operational"
"0027043A2761","KRDAG-AAES-ANIRA (00:27:04:3A:27:61)","10.34.58.1","Installed","Operational"
"0027043A2789","KRANY-AAES-ANIRA (00:27:04:3A:27:89)","10.34.55.1","Installed","Operational"
"0027043A99CB","BRSOR-AMER-ANIRA (00:27:04:3A:99:CB)","10.103.228.3","Installed","Operational"
"0027043A9A39","PLGDA-EMEA-ANIRA (00:27:04:3A:9A:39)","10.253.240.6","Installed","Operational"
"0027043A9A57","COCAL-AMER-ANIRA (00:27:04:3A:9A:57)","10.236.109.1","Installed","Operational"
"0027043A9B6F","BRDIA-AMER-ANIRA (00:27:04:3A:9B:6F)","10.237.136.3","Installed","Operational"
"0027043AA5B5","COCAR-AMER-ANIRA (00:27:04:3A:A5:B5)","10.236.110.1","Installed","Operational"
"0027043AA691","BRCAM-AMER-ANIRA (00:27:04:3A:A6:91)","10.237.172.3","Installed","Operational"
"0027043AA975","COBOG-AMER-ANIRA (00:27:04:3A:A9:75)","10.246.116.1","Installed","Operational"
"0027043AAADD","BRSAL-AMER-ANIRA (00:27:04:3A:AA:DD)","10.237.100.3","Installed","Operational"
"0027043AAD17","ROBUA-AAES-ANIRA (00:27:04:3A:AD:17)","10.34.49.1","Installed","Operational"
"0027043AAFDD","CAASH-AMER-ANIRA (00:27:04:3A:AF:DD)","10.246.36.3","Installed","Operational"
"0027043AB005","CACAL-AAES-ANIRA (00:27:04:3A:B0:05)","10.17.152.248","Installed","Operational"
"0027043AB1A9","SESHQ-AAAB-ANIRA (00:27:04:3A:B1:A9)","10.63.230.252","Installed","Operational"
"0027043AB5AF","SENOR-HOSP-ANIRA (00:27:04:3A:B5:AF)","10.103.48.1","Installed","Operational"
"0027043AB613","AUAUB-APAC-ANIRA (00:27:04:3A:B6:13)","10.251.104.3","Installed","Operational"
"0027043ABB1D","AUPER-APAC-ANIRA (00:27:04:3A:BB:1D)","10.252.12.3","Installed","Operational"
"0027043ABBDB","PLDOB-EMEA-ANIRA (00:27:04:3A:BB:DB)","10.253.248.8","Installed","Operational"
"0027043ABE6F","AUDAN-AAES-ANIRA (00:27:04:3A:BE:6F)","10.34.75.3","Installed","Operational"
"0027043AC5C7","SGSIA-APAC-ANIRA (00:27:04:3A:C5:C7)","10.252.92.3","Installed","Operational"
"0027043AC7C5","USLVS-AAES-ANIRA (00:27:04:3A:C7:C5)","10.17.85.248","Installed","Operational"
"0027043ACA8B","USATN-AAES-ANIRA (00:27:04:3A:CA:8B)","10.17.5.248","Installed","Operational"
"0027043ACD47","USORD-AAES-ANIRA (00:27:04:3A:CD:47)","10.34.206.1","Installed","Operational"
"0027043ACDA1","USJCK-AAES-ANIRA (00:27:04:3A:CD:A1)","10.34.205.1","Installed","Operational"
"0027043ACE2D","USMOC-AAES-ANIRA (00:27:04:3A:CE:2D)","10.17.100.3","Installed","Operational"
"0027043ACE73","USABQ-AAES-ANIRA (00:27:04:3A:CE:73)","10.17.36.248","Installed","Operational"
"0027043AD0D5","USTAL-AAES-ANIRA (00:27:04:3A:D0:D5)","10.34.207.1","Installed","Operational"
"0027043AD0F3","USATT-AAES-ANIRA (00:27:04:3A:D0:F3)","10.17.74.248","Installed","Operational"
"0027043AD297","USBUT-AAES-ANIRA (00:27:04:3A:D2:97)","10.17.52.248","Installed","Operational"
"0027043AD5F3","USPOR-AAES-ANIRA (00:27:04:3A:D5:F3)","10.17.70.248","Installed","Operational"
"0027043ADA35","USJAC-AAES-ANIRA (00:27:04:3A:DA:35)","10.17.12.248","Installed","Operational"
"0027043AEBA1","USTMP-AAES-ANIRA (00:27:04:3A:EB:A1)","10.34.208.1","Installed","Operational"
"0027043AED63","ESBAH-HOSP-ANIRA (00:27:04:3A:ED:63)","10.241.24.1","Installed","Operational"
"0027043AEDEF","LTVIL-EMEA-ANIRA (00:27:04:3A:ED:EF)","10.244.248.1","Installed","Operational"
"0027043AF3CB","FRBLE-AAES-ANIRA (00:27:04:3A:F3:CB)","10.154.20.6","Installed","Operational"
"0027043AF46B","FRMON-EMEA-ANIRA (00:27:04:3A:F4:6B)","10.103.191.243","Installed","Operational"
"0027043AF4D9","VNHOC-APAC-ANIRA (00:27:04:3A:F4:D9)","10.129.80.3","Installed","Operational"
"0027043AF623","ITIBM-EMEA-ANIRA (00:27:04:3A:F6:23)","10.34.242.1","Installed","Operational"
"0027043BA1A7","NZSYB-AAES-ANIRA (00:27:04:3B:A1:A7)","10.237.238.1","Installed","Operational"
"0027043BA3C3","SGSIH-HOSP-ANIRA (00:27:04:3B:A3:C3)","10.242.24.1","Installed","Operational"
"0027043BA3EB","SGSIE-AAES-ANIRA (00:27:04:3B:A3:EB)","10.249.108.5","Installed","Operational"
"0027043BA7D3","NZWEB-AAES-ANIRA (00:27:04:3B:A7:D3)","10.237.237.1","Installed","Operational"
"0027043BA7F1","JPTOO-HOSP-ANIRA (00:27:04:3B:A7:F1)","10.242.56.1","Installed","Operational"
"0027043BA841","FIESP-AAES-ANIRA (00:27:04:3B:A8:41)","10.70.30.3","Installed","Operational"
"0027043BAA2B","FRROA-AAES-ANIRA (00:27:04:3B:AA:2B)","10.154.13.1","Installed","Operational"
"0027043BACFB","FRALT-AAES-ANIRA (00:27:04:3B:AC:FB)","10.154.15.1","Installed","Operational"
"0027043BAE13","NOOSL-AAES-ANIRA (00:27:04:3B:AE:13)","10.70.48.3","Installed","Operational"
"0027043BB205","UKSOT-AAES-ANIRA (00:27:04:3B:B2:05)","10.34.67.1","Installed","Operational"
"0027043BB273","UKWIN-AAES-ANIRA (00:27:04:3B:B2:73)","10.34.68.1","Installed","Operational"
"0027043BB5C5","UKSOL-HOSP-ANIRA (00:27:04:3B:B5:C5)","10.103.224.1","Installed","Operational"
"0027043BB6C9","UKWOK-EMEA-ANIRA (00:27:04:3B:B6:C9)","10.253.62.3","Installed","Operational"
"0027043C57AF","USTCA-AAES-ANIRA (00:27:04:3C:57:AF)","10.134.8.18","Installed","Operational"
"0027043C64BB","USBOC-AAES-ANIRA (00:27:04:3C:64:BB)","10.252.184.1","Installed","Operational"
"0027043C6E25","USTUL-AAES-ANIRA (00:27:04:3C:6E:25)","10.254.9.99","Installed","Operational"
"0027043C7069","CATOR-AAES-ANIRA (00:27:04:3C:70:69)","10.17.55.248","Installed","Operational"
"0027043C71D1","CAPOR-AAES-ANIRA (00:27:04:3C:71:D1)","10.244.80.2","Installed","Operational"
"0027043C71DB","CAVAG-AAES-ANIRA (00:27:04:3C:71:DB)","10.239.108.2","Installed","Operational"
"0027043C71E5","CAPRI-AAES-ANIRA (00:27:04:3C:71:E5)","10.237.246.1","Installed","Operational"
