"name","location.u_site_id","u_node_id"
"002704398B17","USDNV","USDNV-AAES-ANIRA (00:27:04:39:8B:17)"
"002704398B21","USCOS","USCOS-AAES-ANIRA (00:27:04:39:8B:21)"
"002704398B35","USFOW","USFOW-AAES-ANIRA (00:27:04:39:8B:35)"
"002704398B3F","USRHT","USRHT-AAES-ANIRA (00:27:04:39:8B:3F)"
"002704398B49","USMNS","USMNS-AAES-ANIRA (00:27:04:39:8B:49)"
"002704398B53","USNWB","USNWB-AAES-ANIRA (00:27:04:39:8B:53)"
"00270439F5CF","USRAN","USRAN-AAES-ANIRA (00:27:04:39:F5:CF)"
"0027043A1825","KRHWS","KRHWS-AAES-ANIRA (00:27:04:3A:18:25)"
"0027043A1AEB","HKSAT","HKSAT-AAES-ANIRA (00:27:04:3A:1A:EB)"
"0027043A1F19","PTAGQ","PTAGQ-EMEA-ANIRA (00:27:04:3A:1F:19)"
"0027043A1F9B","NLMAA","NLMAA-HOSP-ANIRA (00:27:04:3A:1F:9B)"
"0027043A2257","AUHOP","AUHOP-APAC-ANIRA (00:27:04:3A:22:57)"
"0027043A2275","AUWIL","AUWIL-APAC-ANIRA (00:27:04:3A:22:75)"
"0027043A227F","AUCHE","AUCHE-APAC-ANIRA (00:27:04:3A:22:7F)"
"0027043A2351","NZPET","NZPET-APAC-ANIRA (00:27:04:3A:23:51)"
"0027043A2437","AUFOR","AUFOR-APAC-ANIRA (00:27:04:3A:24:37)"
"0027043A245F","AUMIL","AUMIL-APAC-ANIRA (00:27:04:3A:24:5F)"
"0027043A2469","AUCLO","AUCLO-APAC-ANIRA (00:27:04:3A:24:69)"
"0027043A2577","NZAUK","NZAUK-AAES-ANIRA (00:27:04:3A:25:77)"
"0027043A2761","KRDAG","KRDAG-AAES-ANIRA (00:27:04:3A:27:61)"
"0027043A2789","KRANY","KRANY-AAES-ANIRA (00:27:04:3A:27:89)"
"0027043A99CB","BRSOR","BRSOR-AMER-ANIRA (00:27:04:3A:99:CB)"
"0027043A9A39","PLGDA","PLGDA-EMEA-ANIRA (00:27:04:3A:9A:39)"
"0027043A9A57","COCAL","COCAL-AMER-ANIRA (00:27:04:3A:9A:57)"
"0027043A9B6F","BRDIA","BRDIA-AMER-ANIRA (00:27:04:3A:9B:6F)"
