"NOMAJ","Oslo (Vitaminveien)","Fredrik Lundh (Inactive)","J�rgen S�tre"
"USCTT","Huntersville (Bryton Corporate Center Dr","Dale Friese","John Pereira"
"NOOTT","Otta (Storgata)","Kjetil Sagdalen (Inactive)","J�rgen S�tre"
"ATGRA","Graz (Waagner-Biro-Str)","",""
"PLWAR","Warsaw (Ilzecka)","Marta Sikora (inactive)","David Spudich"
"VNHOI","Ho Chi Minh City (31 Ta Hien Street)","",""
"EU902","AWS Ireland","",""
"CHRIW","Richterswil (Untere Schwandenstr)","Adrian Guenther (Inactive)","Shkelzen Ziba"
"USCHW","Chatsworth, CA (Gazette Ave)","Jason Gibson","Chris Kirwan"
"VNVIN","Vinh Phuc (Thien Ke Ward)","Giap Nguyen","Hung Dinh"
"CNQIG","Qingdao (168 Longhai Road)","",""
"SESAN","Sandviken (F�rr�dsgatan)","","Amela Buhic"
"NLAME","Amersfoort (Spaceshuttle)","Jeff van der Vlugt","Wim van Baast"
"USSLT","Salt Lake City, UT (S 1000 W)","",""
"USCHD","Chandler, AZ (Delaware St)","",""
"DEWUP","Wuppertal (9 Otto-Wels-Str.)","Ulrich Kraus","Bj�rn Gmeiner"
"TZDAR","Dar-es-Salaam","",""
"FRMAR","Marseille (93 boulevard Henri BARNIER)","Jean-Yves Rougeck","Romuald Texier (inactive)"
"AUADE","Kilkenny, SA (Torrens Rd)","Stephen Truban (inactive)","Robert Watt"
"ITEUR","Pomezia, RM (Via dei Castelli Romani 12/","Ivan Busi","Marco Ruscelloni"
"USLAW","Lawrenceville, GA (N Brown Rd)","Don Hurley (inactive)","John Pereira"
"USDLS","Dallas, TX (Shady Trail)","Jason Gibson","Chris Kirwan"
"CNDAS","Yingkou, Liaoning Province (Qiangou Vill","Hui Li","Simon Xi (inactive)"
"FRTRO","Sainte Savine (avenue de l'Europe)","Xavier Guillaume","Ludovic Nomblot"
"USMAS","Mason City, IA (12th St NW)","Justin Lynch","Brian Brown"
"CNCHB","Changshu (133 Huangpu River Road)","Nicole Chen","Tim Dang"
"NLTER","Terheijden (Bredaseweg)","Ren� Kraaijvanger (inactive)","Jan Heidsma (Inactive)"
"DEWEN","Wennigsen (Gottlieb-Daimler-Str)","Ralf Weskamp","J�rg Bremer"
"CAPRI","Prince George, BC","Marcus Menasce","John Pereira"
"AUBRS","Brisbane, QLD (35 Propreitary St, Tingal","Damien McAuley (inactive)","Jason Ngo (inactive)"
"INBAN","Bangalore (Sarjapur Road)","Kevin Lu(IT)","Michel Humeur"
"ZANAB","East London (Smarrt Rd)","",""
"FRSAK","Saint Marcel (rue Denis Papin - ZA des G","",""
"AUCAM","Camberwell, VIC (Toorak Rd)","",""
"USRCH","Rancho Cucamonga, CA (Monro Ct)","",""
"FIHEL","Helsinki (Mikonkatu)","",""
"SEKST","Kristianstad (Isolatorv�gen)","",""
"MATAN","Tanger (ZI de Moghogha)","",""
"USVEN","Ventura, CA (Transport St)","Ken Gums","Ken Gums"
"USELR","Elkridge, MD (Dorsey Run Rd)","Jason Gibson","Chris Kirwan"
"BELIE","Liedekerke (Denderstraat)","Bjorn De Maeseneer","Bjorn De Maeseneer"
"CNSZF","Shenzhen (Block East, Tian'An Cyber Park","",""
