99,12:03:50
98,12:11:35
97,12:15:07
96,12:18:57
95,12:23:56
94,12:30:47
93,12:41:00
92,12:49:56
91,12:58:08
90,13:00:21
89,13:02:53
88,13:05:15
87,13:08:21
86,13:11:08
85,13:13:24
84,13:15:56
83,13:18:37
82,13:21:36
81,13:24:37
80,13:27:06
79,13:29:36
78,13:32:20
77,13:34:44
76,13:37:36
75,13:41:36
74,13:46:54
73,13:52:50
72,13:55:09
71,13:57:36
70,13:59:37
69,14:01:37
68,14:03:58
67,14:06:31
66,14:08:38
65,14:10:53
64,14:13:06
63,14:14:43
62,14:17:06
61,14:19:37
60,14:21:57
59,14:24:27
58,14:26:39
57,14:28:56
56,14:30:54
55,14:32:52
54,14:35:07
53,14:37:10
52,14:39:09
51,14:41:16
50,14:43:34
49,14:45:38
48,14:47:37
47,14:49:58
46,14:52:27
45,14:54:38
44,14:56:22
43,14:58:20
42,14:59:58
41,15:01:59
40,15:04:18
39,15:06:00
38,15:07:58
37,15:09:58
36,15:11:58
35,15:13:55
34,15:15:58
33,15:17:59
32,15:20:03
31,15:22:31
30,15:24:03
29,15:26:22
28,15:28:34
27,15:30:26
26,15:32:22
25,15:33:58
24,15:35:58
23,15:37:38
22,15:39:38
